Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Germany,DEU,2022-08-23 00:00:00,2022-08-23 02:00:00,509.75
Germany,DEU,2022-08-23 01:00:00,2022-08-23 03:00:00,493.72
Germany,DEU,2022-08-23 02:00:00,2022-08-23 04:00:00,496.74
Germany,DEU,2022-08-23 03:00:00,2022-08-23 05:00:00,541.43
Germany,DEU,2022-08-23 04:00:00,2022-08-23 06:00:00,636.76
Germany,DEU,2022-08-23 05:00:00,2022-08-23 07:00:00,675.94
Germany,DEU,2022-08-23 06:00:00,2022-08-23 08:00:00,678.22
Germany,DEU,2022-08-23 07:00:00,2022-08-23 09:00:00,627.92
Germany,DEU,2022-08-23 08:00:00,2022-08-23 10:00:00,591.92
Germany,DEU,2022-08-23 09:00:00,2022-08-23 11:00:00,549.45
Germany,DEU,2022-08-23 10:00:00,2022-08-23 12:00:00,522.04
Germany,DEU,2022-08-23 11:00:00,2022-08-23 13:00:00,518.18
Germany,DEU,2022-08-23 12:00:00,2022-08-23 14:00:00,533.56
Germany,DEU,2022-08-23 13:00:00,2022-08-23 15:00:00,563.47
Germany,DEU,2022-08-23 14:00:00,2022-08-23 16:00:00,594.3
Germany,DEU,2022-08-23 15:00:00,2022-08-23 17:00:00,649.68
Germany,DEU,2022-08-23 16:00:00,2022-08-23 18:00:00,705.48
Germany,DEU,2022-08-23 17:00:00,2022-08-23 19:00:00,778.9
Germany,DEU,2022-08-23 18:00:00,2022-08-23 20:00:00,769.44
Germany,DEU,2022-08-23 19:00:00,2022-08-23 21:00:00,708.92
Germany,DEU,2022-08-23 20:00:00,2022-08-23 22:00:00,644.89
Germany,DEU,2022-08-23 21:00:00,2022-08-23 23:00:00,599.0
Germany,DEU,2022-08-23 22:00:00,2022-08-24 00:00:00,576.07
Germany,DEU,2022-08-23 23:00:00,2022-08-24 01:00:00,535.59
Germany,DEU,2022-08-24 00:00:00,2022-08-24 02:00:00,534.92
Germany,DEU,2022-08-24 01:00:00,2022-08-24 03:00:00,524.67
Germany,DEU,2022-08-24 02:00:00,2022-08-24 04:00:00,528.5
Germany,DEU,2022-08-24 03:00:00,2022-08-24 05:00:00,562.08
Germany,DEU,2022-08-24 04:00:00,2022-08-24 06:00:00,640.92
Germany,DEU,2022-08-24 05:00:00,2022-08-24 07:00:00,686.54
Germany,DEU,2022-08-24 06:00:00,2022-08-24 08:00:00,693.98
Germany,DEU,2022-08-24 07:00:00,2022-08-24 09:00:00,643.01
Germany,DEU,2022-08-24 08:00:00,2022-08-24 10:00:00,595.88
Germany,DEU,2022-08-24 09:00:00,2022-08-24 11:00:00,581.63
Germany,DEU,2022-08-24 10:00:00,2022-08-24 12:00:00,539.93
Germany,DEU,2022-08-24 11:00:00,2022-08-24 13:00:00,543.4
Germany,DEU,2022-08-24 12:00:00,2022-08-24 14:00:00,552.71
Germany,DEU,2022-08-24 13:00:00,2022-08-24 15:00:00,575.95
Germany,DEU,2022-08-24 14:00:00,2022-08-24 16:00:00,607.84
Germany,DEU,2022-08-24 15:00:00,2022-08-24 17:00:00,663.35
Germany,DEU,2022-08-24 16:00:00,2022-08-24 18:00:00,734.91
Germany,DEU,2022-08-24 17:00:00,2022-08-24 19:00:00,824.65
Germany,DEU,2022-08-24 18:00:00,2022-08-24 20:00:00,787.74
Germany,DEU,2022-08-24 19:00:00,2022-08-24 21:00:00,717.02
Germany,DEU,2022-08-24 20:00:00,2022-08-24 22:00:00,647.25
Germany,DEU,2022-08-24 21:00:00,2022-08-24 23:00:00,584.9
Germany,DEU,2022-08-24 22:00:00,2022-08-25 00:00:00,540.65
Germany,DEU,2022-08-24 23:00:00,2022-08-25 01:00:00,521.83
Germany,DEU,2022-08-25 00:00:00,2022-08-25 02:00:00,520.62
Germany,DEU,2022-08-25 01:00:00,2022-08-25 03:00:00,512.81
Germany,DEU,2022-08-25 02:00:00,2022-08-25 04:00:00,516.68
Germany,DEU,2022-08-25 03:00:00,2022-08-25 05:00:00,538.34
Germany,DEU,2022-08-25 04:00:00,2022-08-25 06:00:00,620.43
Germany,DEU,2022-08-25 05:00:00,2022-08-25 07:00:00,671.59
Germany,DEU,2022-08-25 06:00:00,2022-08-25 08:00:00,683.71
Germany,DEU,2022-08-25 07:00:00,2022-08-25 09:00:00,632.06
Germany,DEU,2022-08-25 08:00:00,2022-08-25 10:00:00,569.29
Germany,DEU,2022-08-25 09:00:00,2022-08-25 11:00:00,532.53
Germany,DEU,2022-08-25 10:00:00,2022-08-25 12:00:00,495.73
Germany,DEU,2022-08-25 11:00:00,2022-08-25 13:00:00,494.72
Germany,DEU,2022-08-25 12:00:00,2022-08-25 14:00:00,495.57
Germany,DEU,2022-08-25 13:00:00,2022-08-25 15:00:00,525.03
