time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230106:1830,0.0,0.0,0.0,0.0,0.0,8.64,3.59,0.0
20230106:1930,0.0,0.0,0.0,0.0,0.0,8.43,3.72,0.0
20230106:2030,0.0,0.0,0.0,0.0,0.0,8.28,3.72,0.0
20230106:2130,0.0,0.0,0.0,0.0,0.0,8.21,3.59,0.0
20230106:2230,0.0,0.0,0.0,0.0,0.0,8.16,3.52,0.0
20230106:2330,0.0,0.0,0.0,0.0,0.0,8.28,3.45,0.0
20230107:0030,0.0,0.0,0.0,0.0,0.0,8.38,3.31,0.0
20230107:0130,0.0,0.0,0.0,0.0,0.0,8.29,3.1,0.0
20230107:0230,0.0,0.0,0.0,0.0,0.0,8.33,3.17,0.0
20230107:0330,0.0,0.0,0.0,0.0,0.0,8.22,3.31,0.0
20230107:0430,0.0,0.0,0.0,0.0,0.0,7.85,3.24,0.0
20230107:0530,0.0,0.0,0.0,0.0,0.0,7.56,3.1,0.0
20230107:0630,0.0,0.0,0.0,0.0,0.0,7.28,2.97,0.0
20230107:0730,0.33,0.0,6.38,0.1,0.34,6.93,2.69,0.0
20230107:0830,21.4,0.0,37.94,0.57,7.1,6.77,2.48,0.0
20230107:0930,32.53,0.0,51.85,0.78,12.28,7.29,2.48,0.0
20230107:1030,49.71,0.0,72.49,1.09,15.49,8.09,2.48,0.0
20230107:1130,50.29,0.0,73.29,1.1,16.44,8.57,2.83,0.0
20230107:1230,46.17,0.0,68.57,1.03,15.04,9.1,3.31,0.0
20230107:1330,26.32,0.0,44.54,0.67,11.43,9.33,3.31,0.0
20230107:1430,11.38,0.0,24.83,0.37,5.91,9.15,3.1,0.0
20230107:1530,0.0,0.0,0.0,0.0,-1.11,8.22,2.97,0.0
20230107:1630,0.0,0.0,0.0,0.0,0.0,7.11,3.1,0.0
20230107:1730,0.0,0.0,0.0,0.0,0.0,6.61,3.38,0.0
20230107:1830,0.0,0.0,0.0,0.0,0.0,6.31,3.52,0.0
20230107:1930,0.0,0.0,0.0,0.0,0.0,7.1,3.86,0.0
20230107:2030,0.0,0.0,0.0,0.0,0.0,6.98,3.86,0.0
20230107:2130,0.0,0.0,0.0,0.0,0.0,6.37,3.86,0.0
20230107:2230,0.0,0.0,0.0,0.0,0.0,6.48,3.93,0.0
20230107:2330,0.0,0.0,0.0,0.0,0.0,6.75,4.0,0.0
20230108:0030,0.0,0.0,0.0,0.0,0.0,6.65,3.93,0.0
20230108:0130,0.0,0.0,0.0,0.0,0.0,6.75,3.79,0.0
20230108:0230,0.0,0.0,0.0,0.0,0.0,6.59,3.59,0.0
20230108:0330,0.0,0.0,0.0,0.0,0.0,6.38,3.45,0.0
20230108:0430,0.0,0.0,0.0,0.0,0.0,6.22,3.38,0.0
20230108:0530,0.0,0.0,0.0,0.0,0.0,6.13,3.59,0.0
20230108:0630,0.0,0.0,0.0,0.0,0.0,6.31,3.38,0.0
20230108:0730,0.0,0.0,2.32,0.03,0.4,6.72,3.52,0.0
20230108:0830,1.4,0.0,8.74,0.13,7.18,6.92,3.66,0.0
20230108:0930,12.69,0.0,26.48,0.4,12.38,7.23,3.86,0.0
20230108:1030,38.78,0.0,59.38,0.89,15.61,7.55,3.93,0.0
20230108:1130,34.97,0.0,54.93,0.83,16.58,8.05,3.86,0.0
20230108:1230,32.95,0.0,52.56,0.79,15.19,8.44,3.72,0.0
20230108:1330,25.05,0.0,42.8,0.64,11.58,8.52,4.07,0.0
20230108:1430,16.08,0.0,31.21,0.47,6.07,8.55,3.86,0.0
20230108:1530,0.0,0.0,0.0,0.0,-0.95,8.32,3.79,0.0
20230108:1630,0.0,0.0,0.0,0.0,0.0,7.75,3.72,0.0
20230108:1730,0.0,0.0,0.0,0.0,0.0,7.34,3.72,0.0
20230108:1830,0.0,0.0,0.0,0.0,0.0,7.09,3.45,0.0
