time,P,G(i),H_sun,T2m,WS10m,Int
20220115:0210,0.0,0.0,0.0,1.55,0.62,0.0
20220115:0310,0.0,0.0,0.0,1.61,0.34,0.0
20220115:0410,0.0,0.0,0.0,1.69,0.28,0.0
20220115:0510,0.0,0.0,0.0,1.66,0.41,0.0
20220115:0610,0.0,0.0,0.0,1.61,0.55,0.0
20220115:0710,0.0,0.0,0.0,0.52,0.69,0.0
20220115:0810,16.95,33.0,5.78,0.68,0.69,0.0
20220115:0910,54.21,78.0,11.73,1.28,0.69,0.0
20220115:1010,50.56,73.0,15.84,1.82,0.69,0.0
20220115:1110,56.39,80.0,17.76,2.62,0.62,0.0
20220115:1210,40.07,61.0,17.28,3.09,0.48,0.0
20220115:1310,44.26,66.0,14.46,3.22,0.55,0.0
20220115:1410,21.34,38.0,9.58,3.24,0.69,0.0
20220115:1510,0.0,3.0,3.01,3.0,0.83,0.0
20220115:1610,0.0,0.0,0.0,2.48,1.1,0.0
20220115:1710,0.0,0.0,0.0,1.77,1.24,0.0
20220115:1810,0.0,0.0,0.0,1.29,1.24,0.0
20220115:1910,0.0,0.0,0.0,0.3,1.38,0.0
20220115:2010,0.0,0.0,0.0,-0.25,1.45,0.0
20220115:2110,0.0,0.0,0.0,-0.99,1.52,0.0
20220115:2210,0.0,0.0,0.0,-1.34,1.52,0.0
20220115:2310,0.0,0.0,0.0,-1.38,1.45,0.0
20220116:0010,0.0,0.0,0.0,-1.48,1.45,0.0
20220116:0110,0.0,0.0,0.0,-1.85,1.52,0.0
20220116:0210,0.0,0.0,0.0,-1.83,1.52,0.0
20220116:0310,0.0,0.0,0.0,-1.78,1.72,0.0
20220116:0410,0.0,0.0,0.0,-1.25,1.93,0.0
20220116:0510,0.0,0.0,0.0,-0.96,2.21,0.0
20220116:0610,0.0,0.0,0.0,-0.98,2.28,0.0
20220116:0710,0.0,0.0,0.0,-0.93,2.69,0.0
20220116:0810,19.86,37.0,5.91,-0.82,2.97,0.0
20220116:0910,10.39,23.0,11.88,-0.55,3.66,0.0
20220116:1010,12.55,26.0,16.01,-0.33,3.66,0.0
20220116:1110,17.8,33.0,17.94,0.19,3.72,0.0
20220116:1210,19.28,35.0,17.47,0.91,3.72,0.0
20220116:1310,8.2,20.0,14.67,1.23,3.31,0.0
20220116:1410,3.14,12.0,9.78,1.46,3.66,0.0
20220116:1510,0.0,3.0,3.22,1.82,3.86,0.0
20220116:1610,0.0,0.0,0.0,2.13,3.79,0.0
20220116:1710,0.0,0.0,0.0,2.23,3.72,0.0
20220116:1810,0.0,0.0,0.0,2.02,3.52,0.0
20220116:1910,0.0,0.0,0.0,1.61,3.93,0.0
20220116:2010,0.0,0.0,0.0,1.61,4.07,0.0
20220116:2110,0.0,0.0,0.0,1.63,4.0,0.0
20220116:2210,0.0,0.0,0.0,1.65,4.07,0.0
20220116:2310,0.0,0.0,0.0,1.72,4.0,0.0
20220117:0010,0.0,0.0,0.0,1.87,3.93,0.0
20220117:0110,0.0,0.0,0.0,2.21,3.93,0.0
20220117:0210,0.0,0.0,0.0,2.53,4.0,0.0
20220117:0310,0.0,0.0,0.0,2.86,4.28,0.0
20220117:0410,0.0,0.0,0.0,2.99,4.55,0.0
20220117:0510,0.0,0.0,0.0,2.85,4.69,0.0
20220117:0610,0.0,0.0,0.0,2.57,4.69,0.0
20220117:0710,0.0,0.0,0.0,2.19,4.62,0.0
20220117:0810,11.67,25.0,6.04,1.98,4.48,0.0
20220117:0910,33.68,53.0,12.03,2.19,4.69,0.0
20220117:1010,67.14,92.0,16.18,2.46,4.83,0.0
20220117:1110,42.79,64.0,18.13,3.01,4.9,0.0
20220117:1210,13.02,27.0,17.68,3.5,4.9,0.0
20220117:1310,41.78,63.0,14.87,3.79,4.9,0.0
20220117:1410,23.66,41.0,9.99,4.01,4.76,0.0
20220117:1510,0.0,3.0,3.42,4.22,4.48,0.0
20220117:1610,0.0,0.0,0.0,4.41,4.28,0.0
20220117:1710,0.0,0.0,0.0,4.53,4.14,0.0
20220117:1810,0.0,0.0,0.0,4.37,3.52,0.0
